Date	Mon Jul 20 09:00:38 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	4_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (3)	SDH1 MSF1 PAP1
Unknown identifiers (7)	YGL204C YGR122C-A YER188W YOR343C YLR122C YKL162C-A YPL025C

Terms from the process ontology with p-value <= 0.01.

Of your input list, 297 genes are known or unknown but not ambiguous. The total number of genes used to calculate the background distribution of GO terms is 7274.

-- 1 of 672--
GOID	GO:0055114
TERM	oxidation reduction
P-VALUE	4.05678627179625e-19
CORRECTED P-VALUE	2.72616037464708e-16
NUM_ANNOTATIONS	52 (of 310)
ANNOTATED_GENES	AAD16, YMR041C, YPR1, CYB2, ATP1, COX6, TTR1, BNA4, GRE3, UGA2, JLP1, COR1, KGD1, YNL134C, YMR110C, IDH1, ALD6, ZTA1, GDH2, ALD4, MSC7, MDH2, BNA1, NDE1, ACO1, CCC1, HAP4, IDP2, YJR096W, COX5A, BNA2, RPM2, GLT1, QCR8, LPD1, YPL113C, NDI1, YML087C, CYC1, IDH2, ARA1, CYT1, HYR1, CCP1, FMS1, QCR6, QCR2, GUT2, FAS2, NDE2, FAS1, SDH2

-- 2 of 672--
GOID	GO:0006732
TERM	coenzyme metabolic process
P-VALUE	6.21590750544593e-17
CORRECTED P-VALUE	4.17708984365967e-14
NUM_ANNOTATIONS	34 (of 149)
ANNOTATED_GENES	NDE1, ACS1, YIL083C, PYC2, ACO1, PYC1, YMR289W, BNA4, IDP2, BNA5, ICL1, CIT1, BNA2, NDI1, KGD1, TPI1, IDH1, ALD6, KGD2, IDH2, ACH1, FUM1, FMS1, MLS1, CIT2, TES1, ALD4, GUT2, ACS2, MDH2, LSC2, NDE2, SDH2, BNA1

-- 3 of 672--
GOID	GO:0006084
TERM	acetyl-CoA metabolic process
P-VALUE	1.00281104994945e-15
CORRECTED P-VALUE	6.73889025566031e-13
NUM_ANNOTATIONS	17 (of 33)
ANNOTATED_GENES	ACS1, ACO1, IDP2, ICL1, CIT1, KGD1, IDH1, KGD2, ACH1, IDH2, FUM1, MLS1, CIT2, ACS2, LSC2, MDH2, SDH2

-- 4 of 672--
GOID	GO:0051186
TERM	cofactor metabolic process
P-VALUE	4.22403450748353e-15
CORRECTED P-VALUE	2.83855118902893e-12
NUM_ANNOTATIONS	38 (of 212)
ANNOTATED_GENES	YIL083C, PYC1, BNA4, YNR018W, CIT1, ISA1, KGD1, IDH1, ALD6, ACH1, MLS1, TES1, ALD4, MDH2, LSC2, BNA1, NDE1, ACS1, PYC2, ACO1, HAP4, YMR289W, IDP2, BNA5, ICL1, BNA2, NDI1, TPI1, KGD2, CYC1, IDH2, FUM1, CIT2, FMS1, GUT2, ACS2, NDE2, SDH2

-- 5 of 672--
GOID	GO:0032787
TERM	monocarboxylic acid metabolic process
P-VALUE	2.47671011524111e-14
CORRECTED P-VALUE	1.66434919744203e-11
NUM_ANNOTATIONS	32 (of 159)
ANNOTATED_GENES	FBP1, ACS1, PYC2, CYB2, ACO1, YPL095C, CRC1, UGA3, PYC1, YMR289W, ACC1, IDP2, YAT2, ICL1, YMR210W, FBA1, UGA1, LPD1, UGA2, TPI1, ALD6, ACH1, CAT2, MLS1, CIT2, TES1, ALD4, ATF1, MDH2, FAS2, UBP14, FAS1

-- 6 of 672--
GOID	GO:0006091
TERM	generation of precursor metabolites and energy
P-VALUE	1.0073973569804e-13
CORRECTED P-VALUE	6.76971023890826e-11
NUM_ANNOTATIONS	50 (of 385)
ANNOTATED_GENES	CYB2, BMH2, NCA2, GSY2, ATP1, POR1, COX6, TTR1, CIT1, FBA1, COR1, KGD1, ICS2, ATP16, IDH1, ALD6, PDC2, MLS1, ATP3, ATP14, ATF1, MDH2, LSC2, NDE1, ATP17, ATP2, ACS1, ACO1, HAP4, IDP2, ICL1, COX5A, QCR8, MDM32, NDI1, ATP5, TPI1, PGS1, KGD2, CYC1, IDH2, CYT1, FUM1, CIT2, QCR6, GDB1, GLG2, QCR2, NDE2, SDH2

-- 7 of 672--
GOID	GO:0006099
TERM	tricarboxylic acid cycle
P-VALUE	1.18127116642878e-12
CORRECTED P-VALUE	7.93814223840141e-10
NUM_ANNOTATIONS	14 (of 29)
ANNOTATED_GENES	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, CIT2, MLS1, IDP2, ICL1, CIT1, MDH2, LSC2, SDH2

-- 8 of 672--
GOID	GO:0046356
TERM	acetyl-CoA catabolic process
P-VALUE	1.18127116642878e-12
CORRECTED P-VALUE	7.93814223840141e-10
NUM_ANNOTATIONS	14 (of 29)
ANNOTATED_GENES	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, CIT2, MLS1, IDP2, ICL1, CIT1, MDH2, LSC2, SDH2

-- 9 of 672--
GOID	GO:0019752
TERM	carboxylic acid metabolic process
P-VALUE	6.54013672429452e-12
CORRECTED P-VALUE	4.39497187872592e-09
NUM_ANNOTATIONS	48 (of 400)
ANNOTATED_GENES	FBP1, CYB2, YPL095C, CRC1, GCN4, PYC1, ACC1, PUT4, CIT1, YGL196W, YMR210W, FBA1, UGA2, AGX1, KGD1, IDH1, ALD6, ARO9, ACH1, MLS1, TES1, GDH2, ALD4, ATF1, MDH2, UBP14, ACS1, PYC2, ACO1, UGA3, YMR289W, IDP2, BNA5, YAT2, ICL1, CPA2, GLT1, UGA1, LPD1, TPI1, HOM3, KGD2, IDH2, CAT2, FUM1, CIT2, FAS2, FAS1

-- 10 of 672--
GOID	GO:0009109
TERM	coenzyme catabolic process
P-VALUE	1.07540217409766e-11
CORRECTED P-VALUE	7.22670260993627e-09
NUM_ANNOTATIONS	14 (of 33)
ANNOTATED_GENES	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, CIT2, MLS1, IDP2, ICL1, CIT1, MDH2, LSC2, SDH2

-- 11 of 672--
GOID	GO:0006082
TERM	organic acid metabolic process
P-VALUE	1.12787903414036e-11
CORRECTED P-VALUE	7.5793471094232e-09
NUM_ANNOTATIONS	48 (of 406)
ANNOTATED_GENES	FBP1, CYB2, YPL095C, CRC1, GCN4, PYC1, ACC1, PUT4, CIT1, YGL196W, YMR210W, FBA1, UGA2, AGX1, KGD1, IDH1, ALD6, ARO9, ACH1, MLS1, TES1, GDH2, ALD4, ATF1, MDH2, UBP14, ACS1, PYC2, ACO1, UGA3, YMR289W, IDP2, BNA5, YAT2, ICL1, CPA2, GLT1, UGA1, LPD1, TPI1, HOM3, KGD2, IDH2, CAT2, FUM1, CIT2, FAS2, FAS1

-- 12 of 672--
GOID	GO:0051187
TERM	cofactor catabolic process
P-VALUE	1.76173019625121e-11
CORRECTED P-VALUE	1.18388269188081e-08
NUM_ANNOTATIONS	14 (of 34)
ANNOTATED_GENES	KGD1, IDH1, ACO1, KGD2, IDH2, FUM1, CIT2, MLS1, IDP2, ICL1, CIT1, MDH2, LSC2, SDH2

-- 13 of 672--
GOID	GO:0045333
TERM	cellular respiration
P-VALUE	4.60232015605588e-11
CORRECTED P-VALUE	3.09275914486955e-08
NUM_ANNOTATIONS	28 (of 161)
ANNOTATED_GENES	NDE1, ACO1, NCA2, POR1, COX6, IDP2, ICL1, COX5A, CIT1, QCR8, MDM32, NDI1, COR1, KGD1, IDH1, ALD6, CYC1, KGD2, IDH2, FUM1, CYT1, MLS1, CIT2, QCR6, QCR2, LSC2, MDH2, SDH2

-- 14 of 672--
GOID	GO:0015980
TERM	energy derivation by oxidation of organic compounds
P-VALUE	4.63477026288167e-11
CORRECTED P-VALUE	3.11456561665648e-08
NUM_ANNOTATIONS	39 (of 296)
ANNOTATED_GENES	BMH2, NCA2, GSY2, POR1, COX6, CIT1, COR1, KGD1, ICS2, IDH1, ALD6, PDC2, MLS1, ATF1, MDH2, LSC2, NDE1, ACS1, ACO1, HAP4, IDP2, ICL1, COX5A, QCR8, MDM32, NDI1, PGS1, KGD2, CYC1, IDH2, CYT1, FUM1, CIT2, QCR6, GDB1, GLG2, QCR2, NDE2, SDH2

-- 15 of 672--
GOID	GO:0006767
TERM	water-soluble vitamin metabolic process
P-VALUE	9.73705180690012e-11
CORRECTED P-VALUE	6.54329881423688e-08
NUM_ANNOTATIONS	22 (of 103)
ANNOTATED_GENES	NDE1, SNZ3, PYC2, PYC1, YMR289W, BNA4, YAT2, BNA5, BNA2, THI11, NDI1, TPI1, THI12, ALD6, PDC2, CAT2, SNZ2, THI5, ALD4, GUT2, NDE2, BNA1

-- 16 of 672--
GOID	GO:0006766
TERM	vitamin metabolic process
P-VALUE	1.18996692991945e-10
CORRECTED P-VALUE	7.99657776905867e-08
NUM_ANNOTATIONS	22 (of 104)
ANNOTATED_GENES	NDE1, SNZ3, PYC2, PYC1, YMR289W, BNA4, YAT2, BNA5, BNA2, THI11, NDI1, TPI1, THI12, ALD6, PDC2, CAT2, SNZ2, THI5, ALD4, GUT2, NDE2, BNA1

-- 17 of 672--
GOID	GO:0006536
TERM	glutamate metabolic process
P-VALUE	3.63126913644286e-10
CORRECTED P-VALUE	2.4402128596896e-07
NUM_ANNOTATIONS	10 (of 18)
ANNOTATED_GENES	IDH1, ACO1, IDH2, CIT2, IDP2, GDH2, PUT4, CIT1, GLT1, UGA2

-- 18 of 672--
GOID	GO:0006066
TERM	cellular alcohol metabolic process
P-VALUE	5.84257117105027e-10
CORRECTED P-VALUE	3.92620782694578e-07
NUM_ANNOTATIONS	32 (of 228)
ANNOTATED_GENES	FBP1, YPR1, OSH6, PYC1, YNL156C, GRE3, FBA1, KGD1, VIP1, PDC2, ALD4, ATF1, MSC7, MDH2, UBP14, NDE1, SLI1, PYC2, STD1, YPL272C, XKS1, YJR096W, YAT2, IRE1, YGR263C, YIL042C, TPI1, INO1, GUT2, ACS2, NDE2, GAL3

-- 19 of 672--
GOID	GO:0006119
TERM	oxidative phosphorylation
P-VALUE	6.76448428893814e-10
CORRECTED P-VALUE	4.54573344216643e-07
NUM_ANNOTATIONS	16 (of 58)
ANNOTATED_GENES	ATP17, ATP2, ATP1, COX6, COX5A, QCR8, NDI1, ATP5, ATP16, CYC1, CYT1, QCR6, ATP3, ATP14, QCR2, SDH2

-- 20 of 672--
GOID	GO:0006793
TERM	phosphorus metabolic process
