Date	Mon Jul 20 08:34:35 EDT 2009
Aspect	P
P-value cutoff	0.01
Calculate FDR	Yes
Uploaded gene list	1_S.txt
Annotation file	gene_association.sgd
Ambiguous identifiers (7)	ADH5 KIN3 SSC1 BAT1 PRS3 SSH1 SLC1
Unknown identifiers (12)	BUD19 YPL142C YPR012W YOR309C YLL044W YGR182C YOR203W YDR417C YJR020W IMD1 YJL211C YIL058W

Terms from the process ontology with p-value <= 0.01.

Of your input list, 636 genes are known or unknown but not ambiguous. The total number of genes used to calculate the background distribution of GO terms is 7274.

-- 1 of 920--
GOID	GO:0006412
TERM	translation
P-VALUE	1.33051722088755e-28
CORRECTED P-VALUE	1.22407584321655e-25
NUM_ANNOTATIONS	202 (of 1107)
ANNOTATED_GENES	WRS1, RPL38, RPL35B, PUB1, MTM1, RPL23A, GGA2, SRP14, MRP10, TOM22, YKL056C, SMP3, RPL23B, RPL24A, RPL5, QRI5, BIO2, YCL045C, MRPL9, MIS1, GCD10, SKI8, MTO1, MRPL33, RRF1, TOM5, LYS21, YLF2, COX14, RPS1B, RPS11B, MRPL27, CLU1, RSM26, YDR367W, SIT4, GPX2, MRPL25, RSM27, MRPL6, MST1, HEK2, RPP1B, YOR286W, ANB1, RPL43B, NAT1, RPL21A, RPL20B, RPL12A, RPS19A, RPS13, RPS22A, MES1, RIM2, RPL9A, MRPS9, LAG1, ADH6, LYS20, MRPL28, RHR2, RPL14B, MRPS18, PMP2, MRPL7, TRP4, RPL35A, YDR341C, RPL18B, GRS1, MRPL35, HYP2, RPL27A, YMR293C, GCD7, TOM71, RPS11A, RPL17A, RPS18B, RPS28A, MSS51, HTS1, SWD3, TRS31, MEF1, GCD1, LCB2, ERG12, SOL3, YNL247W, FSH1, MRPL49, PUF4, RPL34B, RPS16A, URA3, CDC43, TYS1, RPL31A, MRP17, TOM6, MRPL15, COP1, RPL8B, YDR493W, SAD1, RPL22A, RSM19, RPL18A, TIF34, MRPL4, RPL7B, MRPS5, YOL098C, FLX1, ATP12, SWD2, KRS1, PET117, YNL035C, TRR1, MRP2, YHR020W, TRP3, LYS9, HEM13, SEC13, RPS16B, TRP2, ADH4, TIM9, RPS4B, DIE2, TIF5, RPS30A, MRPL50, RPL6B, SSA2, RPS30B, SHM1, YML6, MRPL1, RPL14A, MRPL3, ARO8, MAM33, MRP49, YIP1, ODC2, COX10, YAH1, VAS1, TOM7, LEU1, MRPL20, MRPL40, FYV4, MRP20, DTD1, RPS9A, MRP4, RPS20, MRPS8, RPS0A, KAP104, RPS12, RLI1, RPS7A, SLM5, RPS4A, MET18, CTP1, RPS25B, PRP6, RPL31B, YLR253W, SSZ1, TEF4, RPS18A, RPS10A, RPL7A, MAS6, RPS15, COX11, HRP1, SHR3, MRS1, MRPL19, YER049W, MRS3, YLR262C-A, YER007C-A, YEL001C, APL6, YCK2, DED81, SHE2, PET54, RPL21B, FRS2, RPS14A

-- 2 of 920--
GOID	GO:0009058
TERM	biosynthetic process
P-VALUE	1.82786538561842e-24
CORRECTED P-VALUE	1.68163615476895e-21
NUM_ANNOTATIONS	336 (of 2482)
ANNOTATED_GENES	WRS1, RPL38, CYB5, MTM1, BNA4, RPL23A, MAL33, SRP14, MRP10, SMP3, YML082W, RPL5, QRI5, UME1, MIS1, SLD5, CDC73, GCD10, MUQ1, MTO1, MRPL33, ECM31, LYS21, YLF2, COX14, RPS1B, RPC11, RPS11B, CLU1, RPA34, YDR367W, SIT4, GPX2, MRPL25, RSM27, MST1, RPP1B, LYS1, YOR286W, JJJ3, RPL43B, NAT1, CUE4, SAM4, UBP8, UTP8, PDR8, RPL21A, RPL20B, RPS19A, RPS13, RPS22A, MES1, SEC16, YAE1, HIS3, BUD32, LYS20, RHR2, RPL14B, HFI1, MNN11, ALD6, YHR133C, DRE2, MRPL35, HYP2, ECM40, YMR293C, GCD7, YML096W, RIB4, PRS2, SWD3, GCD1, LCB2, RKI1, ERG12, SOL3, YNL247W, ILV3, CKS1, MID2, MRPL49, RPL34B, RPS16A, HIS6, TYS1, ELP3, LEU9, ELP6, COP1, HOG1, TIF34, WBP1, YNL045W, RPL7B, MRPS5, YOL098C, FLX1, RPA135, ATP12, SWD2, ASN2, YNL035C, PET117, TRR1, RPC31, MRP2, CHK1, TRP3, RAS2, HEM13, YER048W-A, MET22, FAA4, TRP2, ARV1, ISA2, ARO3, ADH4, BNA6, TIM9, CAX4, ARG8, TIF5, RPS30A, URA4, IDP1, YML6, RPL14A, MRPL3, SFB3, MRP49, ODC2, LEU1, MRPL20, MRPL40, MRP20, HIS2, ILV1, MRP4, MRPS8, PSF2, YNL326C, CTF8, KAP104, RLI1, RPS7A, SLM5, RPS4A, MET18, ACP1, YLR253W, RPL7A, LIP1, MVD1, SHR3, SWI5, YER007C-A, IES6, PRS4, YCK2, GPI14, YHR029C, SHE2, DED81, RPL21B, RPS14A, RPL35B, KTR3, PUB1, ALG2, GGA2, YKL056C, TOM22, ARO4, OST4, YOR315W, RPL23B, JAC1, RPL24A, PRO1, BIO2, RPA12, YCL045C, MRPL9, SKI8, HEM12, RRF1, TOM5, MCT1, MRPL27, RNH203, BNA1, ERG26, RSM26, YGR263C, GUA1, DPH5, SRB7, MRPL6, SPE4, HEK2, HIS4, ANB1, ELP2, RPL12A, COQ6, YML036W, RIM2, ERG24, MRPS9, RPL9A, LAG1, ADH6, ARG2, MRPL28, HXT4, MRPL7, PMP2, MRPS18, TRP4, RPL35A, GRS1, RPL18B, YDR341C, UTP15, THR4, RIB3, RPL27A, RPA43, TOM71, RPS11A, RPL17A, RPS18B, RPS28A, MSS51, HTS1, MEF1, TRS31, DPH2, ARO2, YOL003C, FSH1, PUF4, GRX5, URA3, FAP7, CDC43, RPL31A, MRP17, TOM6, MRPL15, YGL220W, RPL8B, YDR493W, RPL22A, SAD1, RSM19, RPL18A, MRPL4, RPA49, YEL016C, ECM7, KRS1, HEM2, YHR020W, GAB1, LYS9, ERG28, TOA2, CEM1, HIS5, RPB3, SEC13, RPS16B, MEU1, DIE2, RPS4B, SOD1, SPT4, YHR198C, GDA1, MRPL50, RPL6B, SSA2, RPS30B, SHM1, MRPL1, ARO8, MAM33, YIP1, COX10, YAH1, VAS1, TOM7, TSC13, RPA14, FYV4, DTD1, RPS9A, RPS20, TRX1, RAS1, RPS0A, RPS12, SDS23, CTP1, RPS25B, PRP6, RPL31B, SSZ1, TEF4, RPS18A, RPS10A, MAS6, RPS15, HRP1, COX11, DPH1, GPI12, MRS1, YER049W, HIS1, MRPL19, MRS3, YLR262C-A, CAF17, COQ2, URA1, YEL001C, APL6, PET54, FRS2, SAM1

-- 3 of 920--
GOID	GO:0044249
TERM	cellular biosynthetic process
P-VALUE	1.86478268648117e-23
CORRECTED P-VALUE	1.71560007156268e-20
NUM_ANNOTATIONS	329 (of 2437)
ANNOTATED_GENES	WRS1, RPL38, CYB5, MTM1, BNA4, RPL23A, MAL33, SRP14, MRP10, SMP3, YML082W, RPL5, QRI5, UME1, MIS1, SLD5, CDC73, GCD10, MUQ1, MTO1, MRPL33, ECM31, LYS21, YLF2, COX14, RPS1B, RPC11, RPS11B, CLU1, RPA34, YDR367W, SIT4, GPX2, MRPL25, RSM27, MST1, RPP1B, LYS1, YOR286W, JJJ3, RPL43B, NAT1, CUE4, SAM4, UBP8, UTP8, PDR8, RPL21A, RPL20B, RPS19A, RPS13, RPS22A, MES1, SEC16, YAE1, HIS3, BUD32, LYS20, RHR2, RPL14B, HFI1, MNN11, ALD6, YHR133C, DRE2, MRPL35, HYP2, ECM40, YMR293C, GCD7, YML096W, RIB4, PRS2, SWD3, GCD1, LCB2, RKI1, ERG12, SOL3, YNL247W, ILV3, CKS1, MRPL49, RPL34B, RPS16A, HIS6, TYS1, ELP3, LEU9, ELP6, COP1, HOG1, TIF34, WBP1, YNL045W, RPL7B, MRPS5, YOL098C, FLX1, RPA135, ATP12, SWD2, ASN2, YNL035C, PET117, TRR1, RPC31, MRP2, CHK1, TRP3, RAS2, HEM13, YER048W-A, MET22, FAA4, TRP2, ARV1, ISA2, ARO3, ADH4, BNA6, TIM9, CAX4, ARG8, TIF5, RPS30A, URA4, IDP1, YML6, RPL14A, MRPL3, MRP49, ODC2, LEU1, MRPL20, MRPL40, MRP20, HIS2, ILV1, MRP4, MRPS8, PSF2, YNL326C, CTF8, KAP104, RLI1, RPS7A, SLM5, RPS4A, MET18, ACP1, YLR253W, RPL7A, LIP1, MVD1, SHR3, SWI5, YER007C-A, IES6, PRS4, YCK2, GPI14, SHE2, DED81, RPL21B, RPS14A, RPL35B, KTR3, PUB1, ALG2, GGA2, YKL056C, TOM22, ARO4, OST4, YOR315W, RPL23B, JAC1, RPL24A, PRO1, BIO2, RPA12, YCL045C, MRPL9, SKI8, HEM12, RRF1, TOM5, MCT1, MRPL27, RNH203, BNA1, ERG26, RSM26, YGR263C, DPH5, SRB7, MRPL6, SPE4, HEK2, HIS4, ANB1, ELP2, RPL12A, COQ6, YML036W, RIM2, ERG24, MRPS9, RPL9A, LAG1, ADH6, ARG2, MRPL28, MRPL7, PMP2, MRPS18, TRP4, RPL35A, GRS1, RPL18B, YDR341C, UTP15, THR4, RIB3, RPL27A, RPA43, TOM71, RPS11A, RPL17A, RPS18B, RPS28A, HTS1, MSS51, MEF1, TRS31, DPH2, ARO2, YOL003C, FSH1, PUF4, GRX5, URA3, FAP7, CDC43, RPL31A, MRP17, TOM6, MRPL15, YGL220W, RPL8B, YDR493W, RPL22A, SAD1, RSM19, RPL18A, MRPL4, RPA49, YEL016C, KRS1, HEM2, YHR020W, GAB1, LYS9, ERG28, TOA2, CEM1, HIS5, RPB3, SEC13, RPS16B, MEU1, DIE2, RPS4B, SOD1, SPT4, YHR198C, GDA1, MRPL50, RPL6B, SSA2, RPS30B, SHM1, MRPL1, ARO8, MAM33, YIP1, COX10, YAH1, VAS1, TOM7, RPA14, FYV4, DTD1, RPS9A, RPS20, TRX1, RAS1, RPS0A, RPS12, SDS23, CTP1, RPS25B, PRP6, RPL31B, SSZ1, TEF4, RPS18A, RPS10A, MAS6, RPS15, HRP1, COX11, DPH1, GPI12, MRS1, YER049W, HIS1, MRPL19, MRS3, YLR262C-A, CAF17, COQ2, URA1, YEL001C, APL6, PET54, FRS2, SAM1

